"No.","Time","Source","Destination","Protocol","Length","Info","src port","dest port","hard src addr","hard dest addr","UTC time","The RTT to ACK the segment was"
"52180","328.980295","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=380/31745, ttl=128 (reply in 52181)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:32.924987",""
"52181","329.002351","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=380/31745, ttl=254 (request in 52180)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:32.947043",""
"52184","330.003890","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=381/32001, ttl=128 (reply in 52185)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:33.948582",""
"52185","330.016017","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=381/32001, ttl=254 (request in 52184)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:33.960709",""
"52202","331.031488","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=382/32257, ttl=128 (reply in 52203)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:34.976180",""
"52203","331.176833","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=382/32257, ttl=254 (request in 52202)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:35.121525",""
"52211","332.056669","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=383/32513, ttl=128 (reply in 52212)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:36.001361",""
"52212","332.063812","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=383/32513, ttl=254 (request in 52211)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:36.008504",""
"52235","333.081289","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=384/32769, ttl=128 (reply in 52238)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:37.025981",""
"52238","333.129192","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=384/32769, ttl=254 (request in 52235)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:37.073884",""
"52248","334.098671","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=385/33025, ttl=128 (reply in 52249)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:38.043363",""
"52249","334.113614","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=385/33025, ttl=254 (request in 52248)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:38.058306",""
"52266","335.108839","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=386/33281, ttl=128 (reply in 52267)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:39.053531",""
"52267","335.126066","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=386/33281, ttl=254 (request in 52266)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:39.070758",""
"52272","336.133465","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=387/33537, ttl=128 (reply in 52273)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:40.078157",""
"52273","336.140008","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=387/33537, ttl=254 (request in 52272)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:40.084700",""
"52280","337.157120","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=388/33793, ttl=128 (reply in 52281)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:41.101812",""
"52281","337.164694","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=388/33793, ttl=254 (request in 52280)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:41.109386",""
"52284","338.181738","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=389/34049, ttl=128 (reply in 52285)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:42.126430",""
"52285","338.515077","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=389/34049, ttl=254 (request in 52284)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:42.459769",""
"52286","339.207699","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=390/34305, ttl=128 (reply in 52287)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:43.152391",""
"52287","339.357060","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=390/34305, ttl=254 (request in 52286)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:43.301752",""
"52290","340.224037","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=391/34561, ttl=128 (reply in 52291)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:44.168729",""
"52291","340.368998","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=391/34561, ttl=254 (request in 52290)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:44.313690",""
"52292","341.246780","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=392/34817, ttl=128 (reply in 52293)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:45.191472",""
"52293","341.374073","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=392/34817, ttl=254 (request in 52292)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:45.318765",""
"52299","342.272616","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=393/35073, ttl=128 (reply in 52301)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:46.217308",""
"52301","342.343346","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=393/35073, ttl=254 (request in 52299)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:46.288038",""
"52308","343.297796","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=394/35329, ttl=128 (reply in 52309)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:47.242488",""
"52309","343.306469","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=394/35329, ttl=254 (request in 52308)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:47.251161",""
"52331","344.322496","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=395/35585, ttl=128 (reply in 52335)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:48.267188",""
"52335","344.328721","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=395/35585, ttl=254 (request in 52331)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:48.273413",""
"52358","345.336575","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=396/35841, ttl=128 (reply in 52359)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:49.281267",""
"52359","345.464617","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=396/35841, ttl=254 (request in 52358)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:49.409309",""
"52364","346.359624","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=397/36097, ttl=128 (reply in 52365)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:50.304316",""
"52365","346.373847","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=397/36097, ttl=254 (request in 52364)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:50.318539",""
"52369","347.377222","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=398/36353, ttl=128 (reply in 52370)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:51.321914",""
"52370","347.396695","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=398/36353, ttl=254 (request in 52369)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:51.341387",""
"52376","348.401825","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=399/36609, ttl=128 (reply in 52377)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:52.346517",""
"52377","348.458589","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=399/36609, ttl=254 (request in 52376)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:52.403281",""
"52392","349.426755","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=400/36865, ttl=128 (reply in 52393)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:53.371447",""
"52393","349.470042","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=400/36865, ttl=254 (request in 52392)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:53.414734",""
"52399","350.450773","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=401/37121, ttl=128 (reply in 52400)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:54.395465",""
"52400","350.494395","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=401/37121, ttl=254 (request in 52399)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:54.439087",""
"52460","351.465766","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=402/37377, ttl=128 (reply in 52461)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:55.410458",""
"52461","351.510871","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=402/37377, ttl=254 (request in 52460)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:55.455563",""
"52467","352.490214","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=403/37633, ttl=128 (reply in 52468)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:56.434906",""
"52468","352.495316","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=403/37633, ttl=254 (request in 52467)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:56.440008",""
"52469","353.514423","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=404/37889, ttl=128 (reply in 52470)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:57.459115",""
"52470","353.517969","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=404/37889, ttl=254 (request in 52469)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:57.462661",""
"52471","354.523069","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=405/38145, ttl=128 (reply in 52472)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:58.467761",""
"52472","354.529792","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=405/38145, ttl=254 (request in 52471)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:58.474484",""
"52476","355.548492","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=406/38401, ttl=128 (reply in 52477)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:59.493184",""
"52477","355.552420","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=406/38401, ttl=254 (request in 52476)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:59.497112",""
"52480","356.564227","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=407/38657, ttl=128 (reply in 52481)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:32:00.508919",""
"52481","356.571596","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=407/38657, ttl=254 (request in 52480)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:32:00.516288",""
"52487","357.573837","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=408/38913, ttl=128 (reply in 52490)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:32:01.518529",""
"52490","357.623661","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=408/38913, ttl=254 (request in 52487)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:32:01.568353",""
