"No.","Time","Source","Destination","Protocol","Length","Info","src port","dest port","hard src addr","hard dest addr","UTC time","The RTT to ACK the segment was"
"51773","283.067771","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=335/20225, ttl=128 (reply in 51774)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:47.012463",""
"51774","283.081734","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=335/20225, ttl=254 (request in 51773)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:47.026426",""
"51779","284.095368","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=336/20481, ttl=128 (reply in 51780)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:48.040060",""
"51780","284.105748","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=336/20481, ttl=254 (request in 51779)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:48.050440",""
"51789","285.116283","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=337/20737, ttl=128 (reply in 51790)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:49.060975",""
"51790","285.171353","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=337/20737, ttl=254 (request in 51789)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:49.116045",""
"51810","286.140303","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=338/20993, ttl=128 (reply in 51811)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:50.084995",""
"51811","286.153413","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=338/20993, ttl=254 (request in 51810)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:50.098105",""
"51822","287.164510","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=339/21249, ttl=128 (reply in 51823)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:51.109202",""
"51823","287.192894","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=339/21249, ttl=254 (request in 51822)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:51.137586",""
"51848","288.186366","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=340/21505, ttl=128 (reply in 51849)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:52.131058",""
"51849","288.201187","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=340/21505, ttl=254 (request in 51848)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:52.145879",""
"51858","289.209762","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=341/21761, ttl=128 (reply in 51865)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:53.154454",""
"51865","289.265305","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=341/21761, ttl=254 (request in 51858)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:53.209997",""
"51882","290.237638","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=342/22017, ttl=128 (reply in 51883)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:54.182330",""
"51883","290.331702","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=342/22017, ttl=254 (request in 51882)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:54.276394",""
"51888","291.256541","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=343/22273, ttl=128 (reply in 51889)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:55.201233",""
"51889","291.264687","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=343/22273, ttl=254 (request in 51888)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:55.209379",""
"51893","292.281082","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=344/22529, ttl=128 (reply in 51894)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:56.225774",""
"51894","292.285756","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=344/22529, ttl=254 (request in 51893)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:56.230448",""
"51896","293.299840","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=345/22785, ttl=128 (reply in 51898)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:57.244532",""
"51898","293.387743","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=345/22785, ttl=254 (request in 51896)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:57.332435",""
"51899","294.323277","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=346/23041, ttl=128 (reply in 51900)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:58.267969",""
"51900","294.327491","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=346/23041, ttl=254 (request in 51899)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:58.272183",""
"51906","295.346450","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=347/23297, ttl=128 (reply in 51907)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:30:59.291142",""
"51907","295.356638","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=347/23297, ttl=254 (request in 51906)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:30:59.301330",""
"51909","296.368471","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=348/23553, ttl=128 (reply in 51910)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:00.313163",""
"51910","296.378302","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=348/23553, ttl=254 (request in 51909)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:00.322994",""
"51917","297.386106","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=349/23809, ttl=128 (reply in 51918)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:01.330798",""
"51918","297.394607","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=349/23809, ttl=254 (request in 51917)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:01.339299",""
"51926","298.397619","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=350/24065, ttl=128 (reply in 51927)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:02.342311",""
"51927","298.403283","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=350/24065, ttl=254 (request in 51926)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:02.347975",""
"51954","299.427835","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=351/24321, ttl=128 (reply in 51955)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:03.372527",""
"51955","299.440553","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=351/24321, ttl=254 (request in 51954)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:03.385245",""
"51978","300.440262","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=352/24577, ttl=128 (reply in 51979)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:04.384954",""
"51979","300.443654","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=352/24577, ttl=254 (request in 51978)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:04.388346",""
"51985","301.459124","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=353/24833, ttl=128 (reply in 51986)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:05.403816",""
"51986","301.493891","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=353/24833, ttl=254 (request in 51985)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:05.438583",""
"51991","302.471764","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=354/25089, ttl=128 (reply in 51993)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:06.416456",""
"51993","302.832885","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=354/25089, ttl=254 (request in 51991)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:06.777577",""
"52000","303.495467","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=355/25345, ttl=128 (reply in 52004)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:07.440159",""
"52004","303.502135","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=355/25345, ttl=254 (request in 52000)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:07.446827",""
"52012","304.509937","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=356/25601, ttl=128 (reply in 52013)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:08.454629",""
"52013","304.678680","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=356/25601, ttl=254 (request in 52012)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:08.623372",""
"52019","305.529474","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=357/25857, ttl=128 (reply in 52020)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:09.474166",""
"52020","305.554992","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=357/25857, ttl=254 (request in 52019)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:09.499684",""
"52027","306.547471","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=358/26113, ttl=128 (reply in 52028)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:10.492163",""
"52028","306.552927","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=358/26113, ttl=254 (request in 52027)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:10.497619",""
"52040","307.561767","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=359/26369, ttl=128 (reply in 52041)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:11.506459",""
"52041","307.565751","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=359/26369, ttl=254 (request in 52040)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:11.510443",""
